           time        x coord        y coord        z coord         radius           dens           temp             ye            |v|             vx             vy             vz
            sec             km             km             km             km         g/cm^3             GK              -           cm/s           cm/s           cm/s           cm/s
     4.4405E-02     6.3859E+01    -1.3315E+02    -1.3966E+02     2.0325E+02     2.2594E+08     1.3163E+01     2.6572E-01     3.0418E+09     2.8005E+09     1.1235E+09    -3.8422E+08
     4.4578E-02     6.8670E+01    -1.3112E+02    -1.4033E+02     2.0396E+02     2.2248E+08     1.3129E+01     2.6610E-01     3.0346E+09     2.7528E+09     1.2165E+09    -3.8827E+08
     4.4752E-02     7.3416E+01    -1.2892E+02    -1.4101E+02     2.0468E+02     2.1890E+08     1.3093E+01     2.6647E-01     3.0274E+09     2.7023E+09     1.3072E+09    -3.9208E+08
     4.4927E-02     7.8090E+01    -1.2656E+02    -1.4169E+02     2.0541E+02     2.1561E+08     1.3058E+01     2.6682E-01     3.0208E+09     2.6494E+09     1.3963E+09    -3.9515E+08
     4.5102E-02     8.2683E+01    -1.2404E+02    -1.4239E+02     2.0615E+02     2.1208E+08     1.3021E+01     2.6721E-01     3.0140E+09     2.5937E+09     1.4826E+09    -3.9819E+08
     4.5277E-02     8.7188E+01    -1.2136E+02    -1.4309E+02     2.0690E+02     2.0852E+08     1.2983E+01     2.6759E-01     3.0071E+09     2.5354E+09     1.5664E+09    -4.0109E+08
     4.5453E-02     9.1596E+01    -1.1853E+02    -1.4380E+02     2.0765E+02     2.0518E+08     1.2947E+01     2.6795E-01     3.0007E+09     2.4750E+09     1.6480E+09    -4.0348E+08
     4.5629E-02     9.5895E+01    -1.1556E+02    -1.4451E+02     2.0841E+02     2.0167E+08     1.2909E+01     2.6833E-01     2.9942E+09     2.4123E+09     1.7265E+09    -4.0601E+08
     4.5805E-02     1.0008E+02    -1.1246E+02    -1.4523E+02     2.0918E+02     1.9814E+08     1.2869E+01     2.6871E-01     2.9876E+09     2.3477E+09     1.8021E+09    -4.0810E+08
     4.5981E-02     1.0416E+02    -1.0922E+02    -1.4595E+02     2.0995E+02     1.9489E+08     1.2831E+01     2.6907E-01     2.9816E+09     2.2816E+09     1.8752E+09    -4.1006E+08
     4.6158E-02     1.0812E+02    -1.0586E+02    -1.4667E+02     2.1073E+02     1.9146E+08     1.2790E+01     2.6944E-01     2.9753E+09     2.2134E+09     1.9451E+09    -4.1194E+08
     4.6334E-02     1.1196E+02    -1.0237E+02    -1.4740E+02     2.1152E+02     1.8805E+08     1.2749E+01     2.6983E-01     2.9693E+09     2.1441E+09     2.0120E+09    -4.1426E+08
     4.6511E-02     1.1569E+02    -9.8758E+01    -1.4813E+02     2.1232E+02     1.8475E+08     1.2707E+01     2.7020E-01     2.9633E+09     2.0731E+09     2.0760E+09    -4.1689E+08
     4.6687E-02     1.1928E+02    -9.5037E+01    -1.4887E+02     2.1313E+02     1.8171E+08     1.2666E+01     2.7057E-01     2.9577E+09     2.0012E+09     2.1375E+09    -4.1776E+08
     4.6864E-02     1.2275E+02    -9.1213E+01    -1.4961E+02     2.1394E+02     1.7855E+08     1.2622E+01     2.7094E-01     2.9517E+09     1.9278E+09     2.1955E+09    -4.1898E+08
     4.7040E-02     1.2609E+02    -8.7285E+01    -1.5035E+02     2.1476E+02     1.7542E+08     1.2579E+01     2.7131E-01     2.9457E+09     1.8535E+09     2.2506E+09    -4.1976E+08
     4.7217E-02     1.2930E+02    -8.3261E+01    -1.5109E+02     2.1559E+02     1.7232E+08     1.2536E+01     2.7168E-01     2.9396E+09     1.7782E+09     2.3027E+09    -4.2055E+08
