           time        x coord        y coord        z coord         radius           dens           temp             ye            |v|             vx             vy             vz
            sec             km             km             km             km         g/cm^3             GK              -           cm/s           cm/s           cm/s           cm/s
     1.0503E-02     5.7695E+01    -4.1037E+01    -7.7763E+01     1.0517E+02     1.4054E+08     1.2361E+01     7.5429E-02     4.5922E+09     2.5281E+09     3.7846E+09    -6.1108E+08
     1.0644E-02     6.0999E+01    -3.5516E+01    -7.8687E+01     1.0571E+02     1.3599E+08     1.2194E+01     7.7428E-02     4.6144E+09     2.1471E+09     4.0246E+09    -6.9715E+08
     1.0786E-02     6.3747E+01    -2.9679E+01    -7.9745E+01     1.0632E+02     1.2555E+08     1.1897E+01     7.9442E-02     4.6422E+09     1.7426E+09     4.2288E+09    -7.9417E+08
     1.0927E-02     6.5912E+01    -2.3580E+01    -8.0937E+01     1.0701E+02     1.1406E+08     1.1585E+01     8.1455E-02     4.6750E+09     1.3264E+09     4.3960E+09    -8.7826E+08
     1.1069E-02     6.7483E+01    -1.7275E+01    -8.2237E+01     1.0778E+02     1.0186E+08     1.1190E+01     8.3725E-02     4.7015E+09     9.0115E+08     4.5158E+09    -9.4813E+08
     1.1210E-02     6.8466E+01    -1.0820E+01    -8.3598E+01     1.0860E+02     9.2796E+07     1.0903E+01     8.6079E-02     4.7330E+09     4.8821E+08     4.6060E+09    -9.7388E+08
     1.1352E-02     6.8862E+01    -4.2658E+00    -8.4988E+01     1.0947E+02     8.4340E+07     1.0660E+01     8.8566E-02     4.7626E+09     7.2940E+07     4.6591E+09    -9.8470E+08
     1.1493E-02     6.8669E+01     2.3335E+00    -8.6393E+01     1.1038E+02     7.6060E+07     1.0347E+01     9.1062E-02     4.7864E+09    -3.3986E+08     4.6703E+09    -9.9121E+08
     1.1634E-02     6.7906E+01     8.9280E+00    -8.7779E+01     1.1134E+02     6.9584E+07     1.0078E+01     9.3517E-02     4.8064E+09    -7.3797E+08     4.6501E+09    -9.6652E+08
     1.1776E-02     6.6591E+01     1.5466E+01    -8.9126E+01     1.1233E+02     6.2897E+07     9.8233E+00     9.5903E-02     4.8170E+09    -1.1203E+09     4.5898E+09    -9.3917E+08
     1.1917E-02     6.4742E+01     2.1898E+01    -9.0423E+01     1.1335E+02     5.8330E+07     9.6548E+00     9.8302E-02     4.8242E+09    -1.4918E+09     4.4992E+09    -8.9706E+08
     1.2059E-02     6.2382E+01     2.8177E+01    -9.1660E+01     1.1440E+02     5.4471E+07     9.4408E+00     1.0063E-01     4.8228E+09    -1.8425E+09     4.3754E+09    -8.4908E+08
     1.2200E-02     5.9541E+01     3.4258E+01    -9.2825E+01     1.1548E+02     5.1311E+07     9.2732E+00     1.0287E-01     4.8132E+09    -2.1728E+09     4.2203E+09    -7.9668E+08
