     R_cyl [km]         z [km]        T [MeV]
    5.00000E-01    1.83543E+01    3.22950E+00
    1.50000E+00    1.83158E+01    3.23079E+00
    2.50000E+00    1.82891E+01    3.23429E+00
    3.50000E+00    1.82643E+01    3.23376E+00
    4.50000E+00    1.82310E+01    3.23094E+00
    5.50000E+00    1.81775E+01    3.23024E+00
    6.50000E+00    1.80900E+01    3.23133E+00
    7.50000E+00    1.81511E+01    3.06708E+00
    8.50000E+00    1.77611E+01    3.24850E+00
    9.50000E+00    1.74951E+01    3.27025E+00
    1.05000E+01    1.73336E+01    3.25122E+00
    1.15000E+01    1.72363E+01    3.11108E+00
    1.25000E+01    1.70427E+01    3.02924E+00
    1.35000E+01    1.63910E+01    3.24942E+00
    1.45000E+01    1.62338E+01    3.09297E+00
    1.55000E+01    1.59449E+01    3.02420E+00
    1.65000E+01    1.52266E+01    3.23017E+00
    1.75000E+01    1.48249E+01    3.17108E+00
    1.85000E+01    1.42585E+01    3.20567E+00
    1.95000E+01    1.37605E+01    3.16908E+00
    2.05000E+01    1.31562E+01    3.18444E+00
    2.15000E+01    1.25447E+01    3.14416E+00
    2.25000E+01    1.19214E+01    3.14231E+00
    2.35000E+01    1.13210E+01    3.08482E+00
    2.45000E+01    1.06303E+01    3.08623E+00
    2.55000E+01    1.00808E+01    3.05555E+00
    2.65000E+01    9.64246E+00    2.96447E+00
    2.75000E+01    9.28411E+00    2.73994E+00
    2.85000E+01    9.25887E+00    3.21757E+00
    2.95000E+01    9.34463E+00    3.94906E+00
    3.05000E+01    9.56176E+00    4.16726E+00
    3.15000E+01    9.93425E+00    4.26111E+00
    3.25000E+01    1.03202E+01    4.27705E+00
    3.35000E+01    1.07311E+01    4.24351E+00
    3.45000E+01    1.11274E+01    4.17500E+00
    3.55000E+01    1.14837E+01    4.10618E+00
    3.65000E+01    1.18646E+01    4.03759E+00
    3.75000E+01    1.22096E+01    3.97444E+00
    3.85000E+01    1.25282E+01    3.90855E+00
    3.95000E+01    1.28649E+01    3.83637E+00
    4.05000E+01    1.31650E+01    3.76678E+00
    4.15000E+01    1.34392E+01    3.70215E+00
    4.25000E+01    1.37209E+01    3.63462E+00
    4.35000E+01    1.39864E+01    3.56648E+00
    4.45000E+01    1.42263E+01    3.50050E+00
    4.55000E+01    1.44435E+01    3.43688E+00
    4.65000E+01    1.46584E+01    3.36744E+00
    4.75000E+01    1.48573E+01    3.29910E+00
    4.85000E+01    1.50342E+01    3.23528E+00
    4.95000E+01    1.51924E+01    3.17630E+00
    5.05000E+01    1.53280E+01    3.12288E+00
    5.15000E+01    1.54427E+01    3.07406E+00
    5.25000E+01    1.55482E+01    3.02747E+00
    5.35000E+01    1.56446E+01    2.98250E+00
    5.45000E+01    1.57240E+01    2.93937E+00
    5.55000E+01    1.57847E+01    2.89823E+00
    5.65000E+01    1.58242E+01    2.85912E+00
    5.75000E+01    1.58484E+01    2.82213E+00
    5.85000E+01    1.58554E+01    2.78687E+00
    5.95000E+01    1.58463E+01    2.75355E+00
    6.05000E+01    1.58207E+01    2.72225E+00
    6.15000E+01    1.57800E+01    2.69254E+00
    6.25000E+01    1.57252E+01    2.66438E+00
    6.35000E+01    1.56496E+01    2.63740E+00
    6.45000E+01    1.55536E+01    2.61150E+00
    6.55000E+01    1.54419E+01    2.58659E+00
    6.65000E+01    1.53156E+01    2.56229E+00
    6.75000E+01    1.51722E+01    2.53901E+00
    6.85000E+01    1.50095E+01    2.51609E+00
    6.95000E+01    1.48271E+01    2.49365E+00
    7.05000E+01    1.46272E+01    2.47184E+00
    7.15000E+01    1.44110E+01    2.45096E+00
    7.25000E+01    1.41788E+01    2.43096E+00
    7.35000E+01    1.39189E+01    2.41164E+00
    7.45000E+01    1.36324E+01    2.39315E+00
    7.55000E+01    1.33282E+01    2.37533E+00
    7.65000E+01    1.30000E+01    2.35796E+00
    7.75000E+01    1.26453E+01    2.34122E+00
    7.85000E+01    1.22691E+01    2.32488E+00
    7.95000E+01    1.18684E+01    2.30903E+00
    8.05000E+01    1.14394E+01    2.29359E+00
    8.15000E+01    1.09856E+01    2.27730E+00
    8.25000E+01    1.05001E+01    2.26162E+00
    8.35000E+01    9.99385E+00    2.24658E+00
    8.45000E+01    9.45419E+00    2.23255E+00
    8.55000E+01    8.88783E+00    2.21883E+00
    8.65000E+01    8.28589E+00    2.20586E+00
    8.75000E+01    7.64950E+00    2.19361E+00
    8.85000E+01    6.90449E+00    2.18235E+00
    8.95000E+01    5.60882E+00    2.17470E+00
    9.05000E+01    3.92459E+00    2.16765E+00
    9.15000E+01    0.00000E+00    0.00000E+00
    9.25000E+01    0.00000E+00    0.00000E+00
    9.35000E+01    0.00000E+00    0.00000E+00
    9.45000E+01    0.00000E+00    0.00000E+00
    9.55000E+01    0.00000E+00    0.00000E+00
    9.65000E+01    0.00000E+00    0.00000E+00
    9.75000E+01    0.00000E+00    0.00000E+00
    9.85000E+01    0.00000E+00    0.00000E+00
    9.95000E+01    0.00000E+00    0.00000E+00
    1.00500E+02    0.00000E+00    0.00000E+00
    1.01500E+02    0.00000E+00    0.00000E+00
    1.02500E+02    0.00000E+00    0.00000E+00
    1.03500E+02    0.00000E+00    0.00000E+00
    1.04500E+02    0.00000E+00    0.00000E+00
    1.05500E+02    0.00000E+00    0.00000E+00
    1.06500E+02    0.00000E+00    0.00000E+00
    1.07500E+02    0.00000E+00    0.00000E+00
    1.08500E+02    0.00000E+00    0.00000E+00
    1.09500E+02    0.00000E+00    0.00000E+00
    1.10500E+02    0.00000E+00    0.00000E+00
    1.11500E+02    0.00000E+00    0.00000E+00
    1.12500E+02    0.00000E+00    0.00000E+00
    1.13500E+02    0.00000E+00    0.00000E+00
    1.14500E+02    0.00000E+00    0.00000E+00
    1.15500E+02    0.00000E+00    0.00000E+00
    1.16500E+02    0.00000E+00    0.00000E+00
    1.17500E+02    0.00000E+00    0.00000E+00
    1.18500E+02    0.00000E+00    0.00000E+00
    1.19500E+02    0.00000E+00    0.00000E+00
    1.20500E+02    0.00000E+00    0.00000E+00
    1.21500E+02    0.00000E+00    0.00000E+00
    1.22500E+02    0.00000E+00    0.00000E+00
    1.23500E+02    0.00000E+00    0.00000E+00
    1.24500E+02    0.00000E+00    0.00000E+00
    1.25500E+02    0.00000E+00    0.00000E+00
    1.26500E+02    0.00000E+00    0.00000E+00
    1.27500E+02    0.00000E+00    0.00000E+00
    1.28500E+02    0.00000E+00    0.00000E+00
    1.29500E+02    0.00000E+00    0.00000E+00
    1.30500E+02    0.00000E+00    0.00000E+00
    1.31500E+02    0.00000E+00    0.00000E+00
    1.32500E+02    0.00000E+00    0.00000E+00
    1.33500E+02    0.00000E+00    0.00000E+00
    1.34500E+02    0.00000E+00    0.00000E+00
    1.35500E+02    0.00000E+00    0.00000E+00
    1.36500E+02    0.00000E+00    0.00000E+00
    1.37500E+02    0.00000E+00    0.00000E+00
    1.38500E+02    0.00000E+00    0.00000E+00
    1.39500E+02    0.00000E+00    0.00000E+00
    1.40500E+02    0.00000E+00    0.00000E+00
    1.41500E+02    0.00000E+00    0.00000E+00
    1.42500E+02    0.00000E+00    0.00000E+00
    1.43500E+02    0.00000E+00    0.00000E+00
    1.44500E+02    0.00000E+00    0.00000E+00
    1.45500E+02    0.00000E+00    0.00000E+00
    1.46500E+02    0.00000E+00    0.00000E+00
    1.47500E+02    0.00000E+00    0.00000E+00
    1.48500E+02    0.00000E+00    0.00000E+00
    1.49500E+02    0.00000E+00    0.00000E+00
    1.50500E+02    0.00000E+00    0.00000E+00
    1.51500E+02    0.00000E+00    0.00000E+00
    1.52500E+02    0.00000E+00    0.00000E+00
    1.53500E+02    0.00000E+00    0.00000E+00
    1.54500E+02    0.00000E+00    0.00000E+00
    1.55500E+02    0.00000E+00    0.00000E+00
    1.56500E+02    0.00000E+00    0.00000E+00
    1.57500E+02    0.00000E+00    0.00000E+00
    1.58500E+02    0.00000E+00    0.00000E+00
    1.59500E+02    0.00000E+00    0.00000E+00
    1.60500E+02    0.00000E+00    0.00000E+00
    1.61500E+02    0.00000E+00    0.00000E+00
    1.62500E+02    0.00000E+00    0.00000E+00
    1.63500E+02    0.00000E+00    0.00000E+00
    1.64500E+02    0.00000E+00    0.00000E+00
    1.65500E+02    0.00000E+00    0.00000E+00
    1.66500E+02    0.00000E+00    0.00000E+00
    1.67500E+02    0.00000E+00    0.00000E+00
    1.68500E+02    0.00000E+00    0.00000E+00
    1.69500E+02    0.00000E+00    0.00000E+00
    1.70500E+02    0.00000E+00    0.00000E+00
    1.71500E+02    0.00000E+00    0.00000E+00
    1.72500E+02    0.00000E+00    0.00000E+00
    1.73500E+02    0.00000E+00    0.00000E+00
    1.74500E+02    0.00000E+00    0.00000E+00
    1.75500E+02    0.00000E+00    0.00000E+00
    1.76500E+02    0.00000E+00    0.00000E+00
    1.77500E+02    0.00000E+00    0.00000E+00
    1.78500E+02    0.00000E+00    0.00000E+00
    1.79500E+02    0.00000E+00    0.00000E+00
    1.80500E+02    0.00000E+00    0.00000E+00
    1.81500E+02    0.00000E+00    0.00000E+00
    1.82500E+02    0.00000E+00    0.00000E+00
    1.83500E+02    0.00000E+00    0.00000E+00
    1.84500E+02    0.00000E+00    0.00000E+00
    1.85500E+02    0.00000E+00    0.00000E+00
    1.86500E+02    0.00000E+00    0.00000E+00
    1.87500E+02    0.00000E+00    0.00000E+00
    1.88500E+02    0.00000E+00    0.00000E+00
    1.89500E+02    0.00000E+00    0.00000E+00
    1.90500E+02    0.00000E+00    0.00000E+00
    1.91500E+02    0.00000E+00    0.00000E+00
    1.92500E+02    0.00000E+00    0.00000E+00
    1.93500E+02    0.00000E+00    0.00000E+00
    1.94500E+02    0.00000E+00    0.00000E+00
    1.95500E+02    0.00000E+00    0.00000E+00
    1.96500E+02    0.00000E+00    0.00000E+00
    1.97500E+02    0.00000E+00    0.00000E+00
    1.98500E+02    0.00000E+00    0.00000E+00
    1.99500E+02    0.00000E+00    0.00000E+00
    2.00500E+02    0.00000E+00    0.00000E+00
    2.01500E+02    0.00000E+00    0.00000E+00
    2.02500E+02    0.00000E+00    0.00000E+00
    2.03500E+02    0.00000E+00    0.00000E+00
    2.04500E+02    0.00000E+00    0.00000E+00
    2.05500E+02    0.00000E+00    0.00000E+00
    2.06500E+02    0.00000E+00    0.00000E+00
    2.07500E+02    0.00000E+00    0.00000E+00
    2.08500E+02    0.00000E+00    0.00000E+00
    2.09500E+02    0.00000E+00    0.00000E+00
    2.10500E+02    0.00000E+00    0.00000E+00
    2.11500E+02    0.00000E+00    0.00000E+00
    2.12500E+02    0.00000E+00    0.00000E+00
    2.13500E+02    0.00000E+00    0.00000E+00
    2.14500E+02    0.00000E+00    0.00000E+00
    2.15500E+02    0.00000E+00    0.00000E+00
    2.16500E+02    0.00000E+00    0.00000E+00
    2.17500E+02    0.00000E+00    0.00000E+00
    2.18500E+02    0.00000E+00    0.00000E+00
    2.19500E+02    0.00000E+00    0.00000E+00
    2.20500E+02    0.00000E+00    0.00000E+00
    2.21500E+02    0.00000E+00    0.00000E+00
    2.22500E+02    0.00000E+00    0.00000E+00
    2.23500E+02    0.00000E+00    0.00000E+00
    2.24500E+02    0.00000E+00    0.00000E+00
    2.25500E+02    0.00000E+00    0.00000E+00
    2.26500E+02    0.00000E+00    0.00000E+00
    2.27500E+02    0.00000E+00    0.00000E+00
    2.28500E+02    0.00000E+00    0.00000E+00
    2.29500E+02    0.00000E+00    0.00000E+00
    2.30500E+02    0.00000E+00    0.00000E+00
    2.31500E+02    0.00000E+00    0.00000E+00
    2.32500E+02    0.00000E+00    0.00000E+00
    2.33500E+02    0.00000E+00    0.00000E+00
    2.34500E+02    0.00000E+00    0.00000E+00
    2.35500E+02    0.00000E+00    0.00000E+00
    2.36500E+02    0.00000E+00    0.00000E+00
    2.37500E+02    0.00000E+00    0.00000E+00
    2.38500E+02    0.00000E+00    0.00000E+00
    2.39500E+02    0.00000E+00    0.00000E+00
    2.40500E+02    0.00000E+00    0.00000E+00
    2.41500E+02    0.00000E+00    0.00000E+00
    2.42500E+02    0.00000E+00    0.00000E+00
    2.43500E+02    0.00000E+00    0.00000E+00
    2.44500E+02    0.00000E+00    0.00000E+00
    2.45500E+02    0.00000E+00    0.00000E+00
    2.46500E+02    0.00000E+00    0.00000E+00
    2.47500E+02    0.00000E+00    0.00000E+00
    2.48500E+02    0.00000E+00    0.00000E+00
    2.49500E+02    0.00000E+00    0.00000E+00
    2.50500E+02    0.00000E+00    0.00000E+00
