     R_cyl [km]         z [km]        T [MeV]
    5.00000E-01    2.20966E+01    2.99653E+00
    1.50000E+00    2.17878E+01    3.12089E+00
    2.50000E+00    2.15441E+01    3.40046E+00
    3.50000E+00    2.14795E+01    3.46389E+00
    4.50000E+00    2.14610E+01    3.40916E+00
    5.50000E+00    2.14370E+01    3.30252E+00
    6.50000E+00    2.13904E+01    3.12561E+00
    7.50000E+00    2.12852E+01    2.54211E+00
    8.50000E+00    2.11177E+01    2.86602E+00
    9.50000E+00    2.08973E+01    3.20383E+00
    1.05000E+01    2.06147E+01    3.25228E+00
    1.15000E+01    2.04330E+01    2.92962E+00
    1.25000E+01    2.02180E+01    2.51427E+00
    1.35000E+01    1.99233E+01    3.12712E+00
    1.45000E+01    1.94898E+01    3.18351E+00
    1.55000E+01    1.92928E+01    2.79246E+00
    1.65000E+01    1.90213E+01    3.23040E+00
    1.75000E+01    1.86277E+01    3.43467E+00
    1.85000E+01    1.84082E+01    3.57190E+00
    1.95000E+01    1.82644E+01    3.70022E+00
    2.05000E+01    1.81704E+01    3.79648E+00
    2.15000E+01    1.83263E+01    3.83764E+00
    2.25000E+01    1.89826E+01    3.72027E+00
    2.35000E+01    1.99978E+01    3.53387E+00
    2.45000E+01    2.11480E+01    3.38399E+00
    2.55000E+01    2.23641E+01    3.26125E+00
    2.65000E+01    2.36477E+01    3.16099E+00
    2.75000E+01    2.49736E+01    3.08039E+00
    2.85000E+01    2.62823E+01    3.01093E+00
    2.95000E+01    2.76005E+01    2.94440E+00
    3.05000E+01    2.89314E+01    2.88573E+00
    3.15000E+01    3.02356E+01    2.83574E+00
    3.25000E+01    3.15134E+01    2.79268E+00
    3.35000E+01    3.27909E+01    2.75045E+00
    3.45000E+01    3.40559E+01    2.70965E+00
    3.55000E+01    3.52907E+01    2.66807E+00
    3.65000E+01    3.65001E+01    2.63084E+00
    3.75000E+01    3.77098E+01    2.59716E+00
    3.85000E+01    3.89037E+01    2.56599E+00
    3.95000E+01    4.00838E+01    2.53747E+00
    4.05000E+01    4.12415E+01    2.50669E+00
    4.15000E+01    4.23859E+01    2.47569E+00
    4.25000E+01    4.35172E+01    2.44494E+00
    4.35000E+01    4.46523E+01    2.41579E+00
    4.45000E+01    4.57749E+01    2.38862E+00
    4.55000E+01    4.68789E+01    2.36335E+00
    4.65000E+01    4.79749E+01    2.33962E+00
    4.75000E+01    4.90627E+01    2.31748E+00
    4.85000E+01    5.01423E+01    2.29430E+00
    4.95000E+01    5.12073E+01    2.27013E+00
    5.05000E+01    5.22634E+01    2.24647E+00
    5.15000E+01    5.33187E+01    2.22298E+00
    5.25000E+01    5.43624E+01    2.20135E+00
    5.35000E+01    5.53963E+01    2.18075E+00
    5.45000E+01    5.64175E+01    2.16080E+00
    5.55000E+01    5.74326E+01    2.14188E+00
    5.65000E+01    5.84452E+01    2.12390E+00
    5.75000E+01    5.94455E+01    2.10735E+00
    5.85000E+01    6.04407E+01    2.09177E+00
    5.95000E+01    6.14260E+01    2.07167E+00
    6.05000E+01    6.24040E+01    2.05261E+00
    6.15000E+01    6.33762E+01    2.03449E+00
    6.25000E+01    6.43347E+01    2.01764E+00
    6.35000E+01    6.52882E+01    2.00128E+00
    6.45000E+01    6.62339E+01    1.98540E+00
    6.55000E+01    6.71717E+01    1.97008E+00
    6.65000E+01    6.80988E+01    1.95567E+00
    6.75000E+01    6.90122E+01    1.94202E+00
    6.85000E+01    6.99252E+01    1.92864E+00
    6.95000E+01    7.08280E+01    1.91556E+00
    7.05000E+01    7.17196E+01    1.90275E+00
    7.15000E+01    7.26008E+01    1.88853E+00
    7.25000E+01    7.34735E+01    1.87372E+00
    7.35000E+01    7.43463E+01    1.85969E+00
    7.45000E+01    7.52067E+01    1.84657E+00
    7.55000E+01    7.60555E+01    1.83376E+00
    7.65000E+01    7.68959E+01    1.82136E+00
    7.75000E+01    7.77243E+01    1.80938E+00
    7.85000E+01    7.85419E+01    1.79810E+00
    7.95000E+01    7.93544E+01    1.78685E+00
    8.05000E+01    8.01586E+01    1.77596E+00
    8.15000E+01    8.09553E+01    1.76568E+00
    8.25000E+01    8.17407E+01    1.75555E+00
    8.35000E+01    8.25118E+01    1.74587E+00
    8.45000E+01    8.32812E+01    1.73583E+00
    8.55000E+01    8.40413E+01    1.72505E+00
    8.65000E+01    8.47901E+01    1.71373E+00
    8.75000E+01    8.55248E+01    1.70336E+00
    8.85000E+01    8.62571E+01    1.69284E+00
    8.95000E+01    8.69783E+01    1.68284E+00
    9.05000E+01    8.76866E+01    1.67316E+00
    9.15000E+01    8.83845E+01    1.66362E+00
    9.25000E+01    8.90769E+01    1.65451E+00
    9.35000E+01    8.97554E+01    1.64558E+00
    9.45000E+01    9.04252E+01    1.63690E+00
    9.55000E+01    9.10897E+01    1.62856E+00
    9.65000E+01    9.17376E+01    1.62035E+00
    9.75000E+01    9.23762E+01    1.61257E+00
    9.85000E+01    9.30106E+01    1.60471E+00
    9.95000E+01    9.36311E+01    1.59738E+00
    1.00500E+02    9.42438E+01    1.59003E+00
    1.01500E+02    9.48449E+01    1.58242E+00
    1.02500E+02    9.54336E+01    1.57429E+00
    1.03500E+02    9.60197E+01    1.56630E+00
    1.04500E+02    9.65886E+01    1.55848E+00
    1.05500E+02    9.71528E+01    1.55088E+00
    1.06500E+02    9.77054E+01    1.54342E+00
    1.07500E+02    9.82504E+01    1.53611E+00
    1.08500E+02    9.87817E+01    1.52900E+00
