     R_cyl [km]         z [km]        T [MeV]
    5.00000E-01    2.24005E+01    2.71576E+00
    1.50000E+00    2.22340E+01    2.64084E+00
    2.50000E+00    2.21081E+01    2.72405E+00
    3.50000E+00    2.20219E+01    2.79588E+00
    4.50000E+00    2.19611E+01    2.80504E+00
    5.50000E+00    2.18805E+01    2.79176E+00
    6.50000E+00    2.17170E+01    2.79662E+00
    7.50000E+00    2.14791E+01    2.55554E+00
    8.50000E+00    2.13938E+01    2.64330E+00
    9.50000E+00    2.12898E+01    2.77296E+00
    1.05000E+01    2.11558E+01    2.73026E+00
    1.15000E+01    2.09016E+01    2.66656E+00
    1.25000E+01    2.04676E+01    2.59081E+00
    1.35000E+01    2.03355E+01    2.87736E+00
    1.45000E+01    2.01340E+01    2.90161E+00
    1.55000E+01    1.97269E+01    2.89500E+00
    1.65000E+01    1.94524E+01    3.15795E+00
    1.75000E+01    1.93778E+01    3.26958E+00
    1.85000E+01    1.93641E+01    3.35503E+00
    1.95000E+01    1.96021E+01    3.35052E+00
    2.05000E+01    2.04304E+01    3.17055E+00
    2.15000E+01    2.16933E+01    3.01881E+00
    2.25000E+01    2.30696E+01    2.88939E+00
    2.35000E+01    2.44615E+01    2.79689E+00
    2.45000E+01    2.59035E+01    2.71935E+00
    2.55000E+01    2.73506E+01    2.64912E+00
    2.65000E+01    2.88372E+01    2.58944E+00
    2.75000E+01    3.03271E+01    2.54130E+00
    2.85000E+01    3.18081E+01    2.49344E+00
    2.95000E+01    3.32860E+01    2.44762E+00
    3.05000E+01    3.47597E+01    2.40569E+00
    3.15000E+01    3.62204E+01    2.36871E+00
    3.25000E+01    3.76576E+01    2.33611E+00
    3.35000E+01    3.90865E+01    2.30526E+00
    3.45000E+01    4.04919E+01    2.27588E+00
    3.55000E+01    4.19111E+01    2.24194E+00
    3.65000E+01    4.32941E+01    2.21111E+00
    3.75000E+01    4.46628E+01    2.18297E+00
    3.85000E+01    4.60344E+01    2.15690E+00
    3.95000E+01    4.73848E+01    2.13265E+00
    4.05000E+01    4.87305E+01    2.10951E+00
    4.15000E+01    5.00664E+01    2.08613E+00
    4.25000E+01    5.13804E+01    2.06255E+00
    4.35000E+01    5.26985E+01    2.03830E+00
    4.45000E+01    5.40107E+01    2.01514E+00
    4.55000E+01    5.52967E+01    1.99380E+00
    4.65000E+01    5.65783E+01    1.97348E+00
    4.75000E+01    5.78614E+01    1.95451E+00
    4.85000E+01    5.91319E+01    1.93654E+00
