     R_cyl [km]         z [km]        T [MeV]
    5.00000E-01    1.72629E+01    4.69660E+00
    1.50000E+00    1.72372E+01    4.68561E+00
    2.50000E+00    1.72165E+01    4.68843E+00
    3.50000E+00    1.71880E+01    4.69196E+00
    4.50000E+00    1.71432E+01    4.70588E+00
    5.50000E+00    1.70769E+01    4.72285E+00
    6.50000E+00    1.69600E+01    4.76773E+00
    7.50000E+00    1.67332E+01    4.93383E+00
    8.50000E+00    1.64936E+01    4.98653E+00
    9.50000E+00    1.64083E+01    4.76514E+00
    1.05000E+01    1.61989E+01    4.73761E+00
    1.15000E+01    1.58281E+01    4.90903E+00
    1.25000E+01    1.54210E+01    4.98003E+00
    1.35000E+01    1.51852E+01    4.77205E+00
    1.45000E+01    1.46768E+01    4.93770E+00
    1.55000E+01    1.42673E+01    4.85483E+00
    1.65000E+01    1.38450E+01    4.79308E+00
    1.75000E+01    1.33021E+01    4.76834E+00
    1.85000E+01    1.27824E+01    4.70573E+00
    1.95000E+01    1.22221E+01    4.61752E+00
    2.05000E+01    1.15209E+01    4.64458E+00
    2.15000E+01    1.08930E+01    4.55063E+00
    2.25000E+01    1.02303E+01    4.41693E+00
    2.35000E+01    9.46041E+00    4.35386E+00
    2.45000E+01    8.81981E+00    4.19249E+00
    2.55000E+01    8.15080E+00    4.05830E+00
    2.65000E+01    7.56013E+00    3.93049E+00
    2.75000E+01    7.28052E+00    3.72802E+00
    2.85000E+01    7.87064E+00    3.27777E+00
    2.95000E+01    8.97934E+00    3.94091E+00
    3.05000E+01    9.48721E+00    4.16202E+00
    3.15000E+01    9.89373E+00    4.25861E+00
    3.25000E+01    1.02400E+01    4.27372E+00
    3.35000E+01    1.05779E+01    4.25242E+00
    3.45000E+01    1.08894E+01    4.18801E+00
    3.55000E+01    1.11697E+01    4.12156E+00
    3.65000E+01    1.14233E+01    4.06113E+00
    3.75000E+01    1.16881E+01    4.00185E+00
    3.85000E+01    1.19402E+01    3.94017E+00
    3.95000E+01    1.21518E+01    3.87685E+00
    4.05000E+01    1.23222E+01    3.81569E+00
    4.15000E+01    1.24545E+01    3.75566E+00
    4.25000E+01    1.25467E+01    3.68834E+00
    4.35000E+01    1.25942E+01    3.61815E+00
    4.45000E+01    1.25804E+01    3.55679E+00
    4.55000E+01    1.25091E+01    3.50867E+00
    4.65000E+01    1.24184E+01    3.46907E+00
    4.75000E+01    1.24067E+01    3.42614E+00
    4.85000E+01    1.23428E+01    3.38681E+00
    4.95000E+01    1.22913E+01    3.34597E+00
    5.05000E+01    1.22021E+01    3.30763E+00
    5.15000E+01    1.21030E+01    3.27078E+00
    5.25000E+01    1.19885E+01    3.23537E+00
    5.35000E+01    1.18561E+01    3.20207E+00
    5.45000E+01    1.16833E+01    3.17138E+00
    5.55000E+01    1.15010E+01    3.14059E+00
    5.65000E+01    1.12833E+01    3.11006E+00
    5.75000E+01    1.10357E+01    3.08056E+00
    5.85000E+01    1.07475E+01    3.05205E+00
    5.95000E+01    1.04208E+01    3.02428E+00
    6.05000E+01    1.00607E+01    2.99695E+00
    6.15000E+01    9.65258E+00    2.97061E+00
    6.25000E+01    9.20644E+00    2.94420E+00
    6.35000E+01    8.73330E+00    2.91747E+00
    6.45000E+01    8.25737E+00    2.88937E+00
    6.55000E+01    7.78675E+00    2.85985E+00
    6.65000E+01    7.28509E+00    2.83031E+00
    6.75000E+01    6.76084E+00    2.80061E+00
    6.85000E+01    6.19959E+00    2.77056E+00
    6.95000E+01    5.60653E+00    2.74044E+00
    7.05000E+01    4.98421E+00    2.70921E+00
    7.15000E+01    4.32219E+00    2.67853E+00
    7.25000E+01    3.61631E+00    2.64791E+00
    7.35000E+01    2.88013E+00    2.61615E+00
    7.45000E+01    6.15243E-01    2.58892E+00
    7.55000E+01    0.00000E+00    0.00000E+00
    7.65000E+01    0.00000E+00    0.00000E+00
    7.75000E+01    0.00000E+00    0.00000E+00
    7.85000E+01    0.00000E+00    0.00000E+00
    7.95000E+01    0.00000E+00    0.00000E+00
    8.05000E+01    0.00000E+00    0.00000E+00
    8.15000E+01    0.00000E+00    0.00000E+00
    8.25000E+01    0.00000E+00    0.00000E+00
    8.35000E+01    0.00000E+00    0.00000E+00
