     R_cyl [km]         z [km]        T [MeV]
    5.00000E-01    2.14892E+01    3.54977E+00
    1.50000E+00    2.14009E+01    3.50777E+00
    2.50000E+00    2.13174E+01    3.63856E+00
    3.50000E+00    2.12574E+01    3.71310E+00
    4.50000E+00    2.12221E+01    3.66694E+00
    5.50000E+00    2.11762E+01    3.56088E+00
    6.50000E+00    2.10916E+01    3.36939E+00
    7.50000E+00    2.09192E+01    2.51676E+00
    8.50000E+00    2.05927E+01    3.28947E+00
    9.50000E+00    2.04289E+01    3.68950E+00
    1.05000E+01    2.03357E+01    3.48215E+00
    1.15000E+01    2.01832E+01    2.91663E+00
    1.25000E+01    1.97851E+01    2.38152E+00
    1.35000E+01    1.94391E+01    3.36836E+00
    1.45000E+01    1.92707E+01    3.13231E+00
    1.55000E+01    1.88745E+01    2.49778E+00
    1.65000E+01    1.84578E+01    3.28100E+00
    1.75000E+01    1.82752E+01    3.39403E+00
    1.85000E+01    1.79297E+01    3.61446E+00
    1.95000E+01    1.74809E+01    3.77984E+00
    2.05000E+01    1.73175E+01    3.88392E+00
    2.15000E+01    1.71596E+01    4.03750E+00
    2.25000E+01    1.72244E+01    4.11440E+00
    2.35000E+01    1.76953E+01    4.07648E+00
    2.45000E+01    1.85333E+01    3.93628E+00
    2.55000E+01    1.95477E+01    3.75536E+00
    2.65000E+01    2.06515E+01    3.62356E+00
    2.75000E+01    2.18062E+01    3.50311E+00
    2.85000E+01    2.29820E+01    3.41156E+00
    2.95000E+01    2.41641E+01    3.33409E+00
    3.05000E+01    2.53483E+01    3.26066E+00
    3.15000E+01    2.65241E+01    3.19387E+00
    3.25000E+01    2.77062E+01    3.13487E+00
    3.35000E+01    2.88620E+01    3.08560E+00
    3.45000E+01    3.00103E+01    3.03841E+00
    3.55000E+01    3.11340E+01    2.99278E+00
    3.65000E+01    3.22353E+01    2.94916E+00
    3.75000E+01    3.33147E+01    2.90668E+00
    3.85000E+01    3.43804E+01    2.86814E+00
    3.95000E+01    3.54347E+01    2.83282E+00
    4.05000E+01    3.64675E+01    2.80052E+00
    4.15000E+01    3.74887E+01    2.77109E+00
    4.25000E+01    3.84946E+01    2.73866E+00
    4.35000E+01    3.94932E+01    2.70290E+00
    4.45000E+01    4.04810E+01    2.67038E+00
    4.55000E+01    4.14516E+01    2.64050E+00
    4.65000E+01    4.24144E+01    2.61168E+00
    4.75000E+01    4.33679E+01    2.58445E+00
    4.85000E+01    4.43129E+01    2.55926E+00
    4.95000E+01    4.52440E+01    2.53578E+00
    5.05000E+01    4.61658E+01    2.51040E+00
    5.15000E+01    4.70849E+01    2.48500E+00
    5.25000E+01    4.79931E+01    2.45904E+00
    5.35000E+01    4.88892E+01    2.43344E+00
    5.45000E+01    4.97725E+01    2.40994E+00
    5.55000E+01    5.06471E+01    2.38802E+00
    5.65000E+01    5.15161E+01    2.36631E+00
    5.75000E+01    5.23828E+01    2.34592E+00
    5.85000E+01    5.32415E+01    2.32686E+00
    5.95000E+01    5.40903E+01    2.30850E+00
    6.05000E+01    5.49292E+01    2.28885E+00
    6.15000E+01    5.57601E+01    2.26989E+00
    6.25000E+01    5.65765E+01    2.24882E+00
    6.35000E+01    5.73924E+01    2.22914E+00
    6.45000E+01    5.82047E+01    2.21082E+00
    6.55000E+01    5.90054E+01    2.19242E+00
    6.65000E+01    5.97934E+01    2.17541E+00
    6.75000E+01    6.05655E+01    2.15922E+00
    6.85000E+01    6.13435E+01    2.14298E+00
    6.95000E+01    6.21154E+01    2.12807E+00
    7.05000E+01    6.28720E+01    2.11333E+00
    7.15000E+01    6.36170E+01    2.09933E+00
    7.25000E+01    6.43586E+01    2.08519E+00
    7.35000E+01    6.50987E+01    2.06871E+00
    7.45000E+01    6.58245E+01    2.05315E+00
    7.55000E+01    6.65349E+01    2.03767E+00
    7.65000E+01    6.72498E+01    2.02316E+00
    7.75000E+01    6.79518E+01    2.00907E+00
    7.85000E+01    6.86397E+01    1.99532E+00
    7.95000E+01    6.93221E+01    1.98252E+00
    8.05000E+01    6.99981E+01    1.96942E+00
    8.15000E+01    7.06630E+01    1.95741E+00
    8.25000E+01    7.13227E+01    1.94518E+00
    8.35000E+01    7.19750E+01    1.93380E+00
    8.45000E+01    7.26102E+01    1.92267E+00
    8.55000E+01    7.32458E+01    1.91217E+00
    8.65000E+01    7.38732E+01    1.90045E+00
