     R_cyl [km]         z [km]        T [MeV]
    5.00000E-01    1.91786E+01    2.63604E+00
    1.50000E+00    1.91107E+01    2.64517E+00
    2.50000E+00    1.90591E+01    2.65713E+00
    3.50000E+00    1.90212E+01    2.66196E+00
    4.50000E+00    1.89785E+01    2.66334E+00
    5.50000E+00    1.89134E+01    2.67038E+00
    6.50000E+00    1.88044E+01    2.60051E+00
    7.50000E+00    1.90664E+01    1.25132E+00
    8.50000E+00    1.84571E+01    2.68988E+00
    9.50000E+00    1.83337E+01    2.67535E+00
    1.05000E+01    1.81566E+01    2.67596E+00
    1.15000E+01    1.81574E+01    1.04880E+00
    1.25000E+01    1.80905E+01    1.15942E+00
    1.35000E+01    1.72724E+01    2.67150E+00
    1.45000E+01    1.72471E+01    1.27339E+00
    1.55000E+01    1.70834E+01    1.16803E+00
    1.65000E+01    1.61504E+01    2.57974E+00
    1.75000E+01    1.58270E+01    2.21627E+00
    1.85000E+01    1.52472E+01    2.60408E+00
    1.95000E+01    1.48281E+01    2.33053E+00
    2.05000E+01    1.42066E+01    2.36611E+00
    2.15000E+01    1.37317E+01    2.40938E+00
    2.25000E+01    1.31096E+01    2.25086E+00
    2.35000E+01    1.26247E+01    2.42356E+00
    2.45000E+01    1.20753E+01    2.22295E+00
    2.55000E+01    1.15847E+01    2.42701E+00
    2.65000E+01    1.14556E+01    1.75216E+00
    2.75000E+01    1.13705E+01    2.95824E+00
    2.85000E+01    1.15732E+01    3.96358E+00
    2.95000E+01    1.20415E+01    4.24599E+00
    3.05000E+01    1.26260E+01    4.24332E+00
    3.15000E+01    1.32666E+01    4.11386E+00
    3.25000E+01    1.38729E+01    4.03335E+00
    3.35000E+01    1.44311E+01    3.97180E+00
    3.45000E+01    1.50115E+01    3.90244E+00
    3.55000E+01    1.55327E+01    3.83514E+00
    3.65000E+01    1.60797E+01    3.77369E+00
    3.75000E+01    1.65651E+01    3.71152E+00
    3.85000E+01    1.70752E+01    3.65411E+00
