     R_cyl [km]         z [km]        T [MeV]
    5.00000E-01    2.11136E+01    3.62857E+00
    1.50000E+00    2.09822E+01    3.83416E+00
    2.50000E+00    2.08392E+01    4.12365E+00
    3.50000E+00    2.07419E+01    4.29157E+00
    4.50000E+00    2.06477E+01    4.28682E+00
    5.50000E+00    2.05364E+01    4.19455E+00
    6.50000E+00    2.05212E+01    3.83482E+00
    7.50000E+00    2.07054E+01    2.50195E+00
    8.50000E+00    2.04508E+01    3.32003E+00
    9.50000E+00    2.02000E+01    3.84885E+00
    1.05000E+01    2.00065E+01    3.72102E+00
    1.15000E+01    2.00246E+01    2.90839E+00
    1.25000E+01    1.97774E+01    2.37916E+00
    1.35000E+01    1.93987E+01    3.35827E+00
    1.45000E+01    1.92201E+01    3.12047E+00
    1.55000E+01    1.89675E+01    2.56330E+00
    1.65000E+01    1.86093E+01    3.29964E+00
    1.75000E+01    1.83407E+01    3.41404E+00
    1.85000E+01    1.82101E+01    3.58952E+00
    1.95000E+01    1.82648E+01    3.70018E+00
    2.05000E+01    1.87442E+01    3.66914E+00
    2.15000E+01    1.95893E+01    3.48493E+00
    2.25000E+01    2.05958E+01    3.32193E+00
    2.35000E+01    2.17370E+01    3.19361E+00
    2.45000E+01    2.29396E+01    3.09269E+00
    2.55000E+01    2.41821E+01    3.00937E+00
    2.65000E+01    2.54474E+01    2.93790E+00
    2.75000E+01    2.67583E+01    2.87492E+00
    2.85000E+01    2.80515E+01    2.82433E+00
    2.95000E+01    2.93403E+01    2.78122E+00
    3.05000E+01    3.06263E+01    2.74067E+00
    3.15000E+01    3.19110E+01    2.69587E+00
    3.25000E+01    3.31700E+01    2.65659E+00
    3.35000E+01    3.43988E+01    2.62091E+00
    3.45000E+01    3.56359E+01    2.58946E+00
    3.55000E+01    3.68602E+01    2.55998E+00
    3.65000E+01    3.80606E+01    2.53227E+00
    3.75000E+01    3.92388E+01    2.50305E+00
    3.85000E+01    4.04058E+01    2.47362E+00
    3.95000E+01    4.15685E+01    2.44451E+00
    4.05000E+01    4.27211E+01    2.41660E+00
    4.15000E+01    4.38598E+01    2.39069E+00
    4.25000E+01    4.49838E+01    2.36625E+00
    4.35000E+01    4.60993E+01    2.34326E+00
    4.45000E+01    4.72039E+01    2.32166E+00
    4.55000E+01    4.82917E+01    2.30169E+00
    4.65000E+01    4.93715E+01    2.27838E+00
    4.75000E+01    5.04435E+01    2.25496E+00
    4.85000E+01    5.15074E+01    2.23192E+00
    4.95000E+01    5.25606E+01    2.21033E+00
    5.05000E+01    5.36032E+01    2.19006E+00
    5.15000E+01    5.46434E+01    2.17055E+00
    5.25000E+01    5.56709E+01    2.15236E+00
    5.35000E+01    5.66867E+01    2.13500E+00
    5.45000E+01    5.76887E+01    2.11862E+00
    5.55000E+01    5.86827E+01    2.10211E+00
    5.65000E+01    5.96725E+01    2.08641E+00
