     R_cyl [km]         z [km]        T [MeV]
    5.00000E-01    2.11031E+01    3.63076E+00
    1.50000E+00    2.09278E+01    3.87658E+00
    2.50000E+00    2.06780E+01    4.28708E+00
    3.50000E+00    2.05044E+01    4.55809E+00
    4.50000E+00    2.04807E+01    4.40599E+00
    5.50000E+00    2.04547E+01    4.14559E+00
    6.50000E+00    2.04077E+01    3.68783E+00
    7.50000E+00    2.02454E+01    1.88017E+00
    8.50000E+00    2.01110E+01    3.01426E+00
    9.50000E+00    1.99299E+01    4.03681E+00
    1.05000E+01    1.96877E+01    3.95243E+00
    1.15000E+01    1.94251E+01    2.67285E+00
    1.25000E+01    1.90877E+01    1.38983E+00
    1.35000E+01    1.88685E+01    3.22579E+00
    1.45000E+01    1.84651E+01    2.87466E+00
    1.55000E+01    1.81190E+01    1.42135E+00
    1.65000E+01    1.78026E+01    2.70640E+00
    1.75000E+01    1.74257E+01    3.00762E+00
    1.85000E+01    1.71239E+01    3.31753E+00
    1.95000E+01    1.65449E+01    3.48463E+00
    2.05000E+01    1.62193E+01    3.41233E+00
    2.15000E+01    1.56076E+01    3.53267E+00
    2.25000E+01    1.52435E+01    3.75498E+00
    2.35000E+01    1.48076E+01    3.91589E+00
    2.45000E+01    1.44555E+01    4.21840E+00
    2.55000E+01    1.44077E+01    4.42255E+00
    2.65000E+01    1.46623E+01    4.51965E+00
    2.75000E+01    1.53376E+01    4.47246E+00
    2.85000E+01    1.62179E+01    4.31987E+00
    2.95000E+01    1.71156E+01    4.17153E+00
    3.05000E+01    1.80080E+01    4.05865E+00
    3.15000E+01    1.88929E+01    3.96588E+00
    3.25000E+01    1.97639E+01    3.87570E+00
    3.35000E+01    2.06234E+01    3.79690E+00
    3.45000E+01    2.14763E+01    3.72888E+00
    3.55000E+01    2.23521E+01    3.66696E+00
    3.65000E+01    2.32018E+01    3.60821E+00
    3.75000E+01    2.40274E+01    3.54621E+00
    3.85000E+01    2.48313E+01    3.49055E+00
    3.95000E+01    2.56056E+01    3.44002E+00
    4.05000E+01    2.63803E+01    3.39425E+00
    4.15000E+01    2.71457E+01    3.35100E+00
    4.25000E+01    2.78775E+01    3.31226E+00
    4.35000E+01    2.85777E+01    3.26896E+00
    4.45000E+01    2.92919E+01    3.22467E+00
    4.55000E+01    2.99822E+01    3.18433E+00
    4.65000E+01    3.06366E+01    3.14685E+00
    4.75000E+01    3.12970E+01    3.11156E+00
    4.85000E+01    3.19460E+01    3.07800E+00
    4.95000E+01    3.25542E+01    3.04832E+00
    5.05000E+01    3.31868E+01    3.01931E+00
    5.15000E+01    3.37957E+01    2.98463E+00
    5.25000E+01    3.43863E+01    2.95370E+00
    5.35000E+01    3.49874E+01    2.92369E+00
    5.45000E+01    3.55476E+01    2.89732E+00
    5.55000E+01    3.61346E+01    2.87022E+00
    5.65000E+01    3.66940E+01    2.84536E+00
    5.75000E+01    3.72555E+01    2.82140E+00
    5.85000E+01    3.78088E+01    2.79829E+00
    5.95000E+01    3.83498E+01    2.77637E+00
    6.05000E+01    3.88985E+01    2.75407E+00
    6.15000E+01    3.94241E+01    2.72906E+00
    6.25000E+01    3.99644E+01    2.70192E+00
    6.35000E+01    4.04729E+01    2.67772E+00
    6.45000E+01    4.10049E+01    2.65295E+00
    6.55000E+01    4.15013E+01    2.62998E+00
    6.65000E+01    4.20196E+01    2.60643E+00
    6.75000E+01    4.25011E+01    2.58544E+00
    6.85000E+01    4.30066E+01    2.56399E+00
    6.95000E+01    4.34817E+01    2.54380E+00
    7.05000E+01    4.39711E+01    2.52418E+00
    7.15000E+01    4.44343E+01    2.50474E+00
    7.25000E+01    4.49073E+01    2.48144E+00
    7.35000E+01    4.53605E+01    2.45962E+00
    7.45000E+01    4.58162E+01    2.43857E+00
    7.55000E+01    4.62564E+01    2.41859E+00
    7.65000E+01    4.66913E+01    2.39867E+00
    7.75000E+01    4.71225E+01    2.37959E+00
    7.85000E+01    4.75340E+01    2.36165E+00
    7.95000E+01    4.79556E+01    2.34394E+00
    8.05000E+01    4.83543E+01    2.32679E+00
    8.15000E+01    4.87569E+01    2.31032E+00
    8.25000E+01    4.91499E+01    2.29476E+00
    8.35000E+01    4.95252E+01    2.27734E+00
    8.45000E+01    4.99084E+01    2.25876E+00
    8.55000E+01    5.02731E+01    2.24126E+00
    8.65000E+01    5.06320E+01    2.22447E+00
    8.75000E+01    5.09881E+01    2.20816E+00
    8.85000E+01    5.13282E+01    2.19241E+00
    8.95000E+01    5.16635E+01    2.17695E+00
    9.05000E+01    5.19954E+01    2.16192E+00
    9.15000E+01    5.23124E+01    2.14759E+00
    9.25000E+01    5.26213E+01    2.13369E+00
    9.35000E+01    5.29304E+01    2.12015E+00
    9.45000E+01    5.32252E+01    2.10700E+00
    9.55000E+01    5.35067E+01    2.09443E+00
    9.65000E+01    5.37918E+01    2.08096E+00
    9.75000E+01    5.40632E+01    2.06704E+00
    9.85000E+01    5.43240E+01    2.05367E+00
    9.95000E+01    5.45768E+01    2.04050E+00
    1.00500E+02    5.48286E+01    2.02757E+00
    1.01500E+02    5.50674E+01    2.01499E+00
    1.02500E+02    5.52953E+01    2.00266E+00
    1.03500E+02    5.55138E+01    1.99068E+00
    1.04500E+02    5.57315E+01    1.97876E+00
    1.05500E+02    5.59389E+01    1.96722E+00
    1.06500E+02    5.61354E+01    1.95587E+00
    1.07500E+02    5.63220E+01    1.94478E+00
    1.08500E+02    5.64976E+01    1.93402E+00
    1.09500E+02    5.66712E+01    1.92339E+00
    1.10500E+02    5.68348E+01    1.91307E+00
    1.11500E+02    5.69863E+01    1.90296E+00
    1.12500E+02    5.71283E+01    1.89322E+00
    1.13500E+02    5.72607E+01    1.88356E+00
    1.14500E+02    5.73847E+01    1.87391E+00
    1.15500E+02    5.75007E+01    1.86435E+00
    1.16500E+02    5.76130E+01    1.85474E+00
    1.17500E+02    5.77170E+01    1.84528E+00
    1.18500E+02    5.78116E+01    1.83590E+00
    1.19500E+02    5.78979E+01    1.82654E+00
    1.20500E+02    5.79754E+01    1.81728E+00
    1.21500E+02    5.80440E+01    1.80806E+00
    1.22500E+02    5.81038E+01    1.79894E+00
    1.23500E+02    5.81549E+01    1.78984E+00
    1.24500E+02    5.81966E+01    1.78080E+00
    1.25500E+02    5.82292E+01    1.77185E+00
    1.26500E+02    5.82516E+01    1.76294E+00
    1.27500E+02    5.82638E+01    1.75411E+00
    1.28500E+02    5.82654E+01    1.74525E+00
    1.29500E+02    5.82553E+01    1.73686E+00
    1.30500E+02    5.82353E+01    1.73014E+00
    1.31500E+02    5.82075E+01    1.72338E+00
    1.32500E+02    5.81720E+01    1.71656E+00
    1.33500E+02    5.81295E+01    1.70968E+00
    1.34500E+02    5.80789E+01    1.70279E+00
    1.35500E+02    5.80208E+01    1.69586E+00
    1.36500E+02    5.79546E+01    1.68888E+00
    1.37500E+02    5.78795E+01    1.68187E+00
    1.38500E+02    5.77971E+01    1.67483E+00
    1.39500E+02    5.77056E+01    1.66778E+00
    1.40500E+02    5.76055E+01    1.66068E+00
    1.41500E+02    5.74957E+01    1.65356E+00
    1.42500E+02    5.73805E+01    1.64640E+00
    1.43500E+02    5.72558E+01    1.63923E+00
    1.44500E+02    5.71203E+01    1.63206E+00
    1.45500E+02    5.69748E+01    1.62484E+00
    1.46500E+02    5.68178E+01    1.61765E+00
    1.47500E+02    5.66499E+01    1.61047E+00
    1.48500E+02    5.64707E+01    1.60326E+00
    1.49500E+02    5.62830E+01    1.59600E+00
    1.50500E+02    5.60830E+01    1.58871E+00
    1.51500E+02    5.58701E+01    1.58235E+00
    1.52500E+02    5.56470E+01    1.57693E+00
    1.53500E+02    5.54155E+01    1.57148E+00
    1.54500E+02    5.51786E+01    1.56604E+00
    1.55500E+02    5.49318E+01    1.56061E+00
    1.56500E+02    5.46749E+01    1.55522E+00
    1.57500E+02    5.44090E+01    1.54982E+00
    1.58500E+02    5.41362E+01    1.54443E+00
    1.59500E+02    5.38535E+01    1.53909E+00
    1.60500E+02    5.35586E+01    1.53379E+00
    1.61500E+02    5.32576E+01    1.52850E+00
    1.62500E+02    5.29439E+01    1.52322E+00
    1.63500E+02    5.26186E+01    1.51801E+00
    1.64500E+02    5.22853E+01    1.51284E+00
    1.65500E+02    5.19403E+01    1.50768E+00
    1.66500E+02    5.15812E+01    1.50258E+00
    1.67500E+02    5.12126E+01    1.49748E+00
