     R_cyl [km]         z [km]        T [MeV]
    5.00000E-01    2.14705E+01    3.55371E+00
    1.50000E+00    2.13777E+01    3.52591E+00
    2.50000E+00    2.12849E+01    3.67149E+00
    3.50000E+00    2.12184E+01    3.75687E+00
    4.50000E+00    2.11806E+01    3.71172E+00
    5.50000E+00    2.11307E+01    3.60591E+00
    6.50000E+00    2.10327E+01    3.41743E+00
    7.50000E+00    2.07934E+01    2.50805E+00
    8.50000E+00    2.04839E+01    3.34980E+00
    9.50000E+00    2.03978E+01    3.71117E+00
    1.05000E+01    2.02967E+01    3.51047E+00
    1.15000E+01    2.01016E+01    2.91239E+00
    1.25000E+01    1.95790E+01    2.31832E+00
    1.35000E+01    1.93879E+01    3.35557E+00
    1.45000E+01    1.91847E+01    3.11219E+00
    1.55000E+01    1.86487E+01    2.33871E+00
    1.65000E+01    1.83877E+01    3.21948E+00
    1.75000E+01    1.81612E+01    3.35914E+00
    1.85000E+01    1.76861E+01    3.63612E+00
    1.95000E+01    1.73687E+01    3.74445E+00
    2.05000E+01    1.70503E+01    3.84920E+00
    2.15000E+01    1.65500E+01    4.06107E+00
    2.25000E+01    1.63793E+01    4.19728E+00
    2.35000E+01    1.63602E+01    4.30508E+00
    2.45000E+01    1.66859E+01    4.31621E+00
    2.55000E+01    1.74333E+01    4.19980E+00
    2.65000E+01    1.84087E+01    4.03045E+00
    2.75000E+01    1.94379E+01    3.88111E+00
    2.85000E+01    2.04973E+01    3.76304E+00
    2.95000E+01    2.15968E+01    3.66698E+00
    3.05000E+01    2.27175E+01    3.58229E+00
    3.15000E+01    2.38346E+01    3.49845E+00
    3.25000E+01    2.49390E+01    3.42734E+00
    3.35000E+01    2.60310E+01    3.36743E+00
    3.45000E+01    2.71162E+01    3.30478E+00
    3.55000E+01    2.81871E+01    3.24809E+00
    3.65000E+01    2.92370E+01    3.19285E+00
    3.75000E+01    3.02676E+01    3.14401E+00
    3.85000E+01    3.12840E+01    3.10031E+00
    3.95000E+01    3.22877E+01    3.05976E+00
    4.05000E+01    3.32686E+01    3.02096E+00
    4.15000E+01    3.42353E+01    2.97898E+00
    4.25000E+01    3.51837E+01    2.93901E+00
    4.35000E+01    3.61212E+01    2.90102E+00
    4.45000E+01    3.70449E+01    2.86600E+00
    4.55000E+01    3.79486E+01    2.83354E+00
    4.65000E+01    3.88428E+01    2.80267E+00
    4.75000E+01    3.97249E+01    2.77325E+00
    4.85000E+01    4.05969E+01    2.74584E+00
    4.95000E+01    4.14571E+01    2.71204E+00
    5.05000E+01    4.23158E+01    2.68176E+00
    5.15000E+01    4.31685E+01    2.65203E+00
    5.25000E+01    4.40074E+01    2.62456E+00
    5.35000E+01    4.48321E+01    2.59882E+00
    5.45000E+01    4.56424E+01    2.57396E+00
    5.55000E+01    4.64481E+01    2.55107E+00
    5.65000E+01    4.72599E+01    2.52851E+00
    5.75000E+01    4.80583E+01    2.50459E+00
    5.85000E+01    4.88445E+01    2.48048E+00
    5.95000E+01    4.96187E+01    2.45585E+00
    6.05000E+01    5.03896E+01    2.43324E+00
    6.15000E+01    5.11596E+01    2.41037E+00
    6.25000E+01    5.19135E+01    2.38973E+00
    6.35000E+01    5.26546E+01    2.36929E+00
    6.45000E+01    5.33943E+01    2.35015E+00
    6.55000E+01    5.41325E+01    2.33149E+00
    6.65000E+01    5.48563E+01    2.31391E+00
    6.75000E+01    5.55629E+01    2.29733E+00
    6.85000E+01    5.62785E+01    2.27772E+00
    6.95000E+01    5.69861E+01    2.25868E+00
    7.05000E+01    5.76747E+01    2.23935E+00
    7.15000E+01    5.83597E+01    2.22175E+00
    7.25000E+01    5.90409E+01    2.20384E+00
    7.35000E+01    5.97094E+01    2.18744E+00
    7.45000E+01    6.03710E+01    2.17102E+00
    7.55000E+01    6.10290E+01    2.15562E+00
    7.65000E+01    6.16738E+01    2.14053E+00
    7.75000E+01    6.23138E+01    2.12640E+00
    7.85000E+01    6.29494E+01    2.11228E+00
    7.95000E+01    6.35671E+01    2.09941E+00
    8.05000E+01    6.41881E+01    2.08486E+00
    8.15000E+01    6.48000E+01    2.06998E+00
    8.25000E+01    6.54001E+01    2.05457E+00
    8.35000E+01    6.59993E+01    2.04012E+00
    8.45000E+01    6.65786E+01    2.02600E+00
    8.55000E+01    6.71615E+01    2.01233E+00
    8.65000E+01    6.77320E+01    1.99916E+00
    8.75000E+01    6.82941E+01    1.98617E+00
    8.85000E+01    6.88498E+01    1.97395E+00
    8.95000E+01    6.93926E+01    1.96171E+00
    9.05000E+01    6.99361E+01    1.95008E+00
    9.15000E+01    7.04604E+01    1.93879E+00
    9.25000E+01    7.09881E+01    1.92784E+00
    9.35000E+01    7.14961E+01    1.91744E+00
    9.45000E+01    7.20109E+01    1.90641E+00
    9.55000E+01    7.25028E+01    1.89515E+00
    9.65000E+01    7.29986E+01    1.88284E+00
    9.75000E+01    7.34739E+01    1.87102E+00
    9.85000E+01    7.39529E+01    1.85967E+00
    9.95000E+01    7.44147E+01    1.84845E+00
    1.00500E+02    7.48744E+01    1.83771E+00
    1.01500E+02    7.53188E+01    1.82724E+00
    1.02500E+02    7.57591E+01    1.81686E+00
    1.03500E+02    7.61899E+01    1.80698E+00
    1.04500E+02    7.66086E+01    1.79729E+00
    1.05500E+02    7.70242E+01    1.78760E+00
    1.06500E+02    7.74251E+01    1.77830E+00
    1.07500E+02    7.78255E+01    1.76921E+00
    1.08500E+02    7.82114E+01    1.76035E+00
    1.09500E+02    7.85867E+01    1.75167E+00
    1.10500E+02    7.89596E+01    1.74338E+00
    1.11500E+02    7.93190E+01    1.73463E+00
    1.12500E+02    7.96714E+01    1.72545E+00
    1.13500E+02    8.00163E+01    1.71647E+00
    1.14500E+02    8.03493E+01    1.70770E+00
    1.15500E+02    8.06754E+01    1.69892E+00
    1.16500E+02    8.09969E+01    1.69018E+00
    1.17500E+02    8.13036E+01    1.68176E+00
    1.18500E+02    8.16024E+01    1.67347E+00
    1.19500E+02    8.18985E+01    1.66519E+00
    1.20500E+02    8.21801E+01    1.65710E+00
    1.21500E+02    8.24519E+01    1.64912E+00
    1.22500E+02    8.27179E+01    1.64131E+00
    1.23500E+02    8.29775E+01    1.63357E+00
    1.24500E+02    8.32242E+01    1.62596E+00
    1.25500E+02    8.34589E+01    1.61850E+00
    1.26500E+02    8.36908E+01    1.61108E+00
    1.27500E+02    8.39108E+01    1.60382E+00
    1.28500E+02    8.41228E+01    1.59661E+00
    1.29500E+02    8.43209E+01    1.58954E+00
    1.30500E+02    8.45091E+01    1.58287E+00
    1.31500E+02    8.46946E+01    1.57674E+00
    1.32500E+02    8.48694E+01    1.57061E+00
    1.33500E+02    8.50382E+01    1.56447E+00
    1.34500E+02    8.51948E+01    1.55839E+00
    1.35500E+02    8.53449E+01    1.55232E+00
    1.36500E+02    8.54866E+01    1.54626E+00
    1.37500E+02    8.56226E+01    1.54019E+00
    1.38500E+02    8.57528E+01    1.53413E+00
    1.39500E+02    8.58709E+01    1.52813E+00
    1.40500E+02    8.59840E+01    1.52211E+00
    1.41500E+02    8.60859E+01    1.51613E+00
    1.42500E+02    8.61799E+01    1.51018E+00
    1.43500E+02    8.62661E+01    1.50426E+00
    1.44500E+02    8.63415E+01    1.49837E+00
    1.45500E+02    8.64117E+01    1.49246E+00
    1.46500E+02    8.64689E+01    1.48663E+00
    1.47500E+02    8.65204E+01    1.48078E+00
    1.48500E+02    8.65633E+01    1.47496E+00
    1.49500E+02    8.65955E+01    1.46918E+00
    1.50500E+02    8.66209E+01    1.46340E+00
    1.51500E+02    8.66329E+01    1.45771E+00
    1.52500E+02    8.66389E+01    1.45199E+00
    1.53500E+02    8.66324E+01    1.44643E+00
    1.54500E+02    8.66170E+01    1.44195E+00
    1.55500E+02    8.65949E+01    1.43781E+00
    1.56500E+02    8.65625E+01    1.43369E+00
    1.57500E+02    8.65266E+01    1.42952E+00
    1.58500E+02    8.64803E+01    1.42539E+00
    1.59500E+02    8.64299E+01    1.42126E+00
    1.60500E+02    8.63715E+01    1.41714E+00
    1.61500E+02    8.63046E+01    1.41304E+00
