     R_cyl [km]         z [km]        T [MeV]
    5.00000E-01    2.21506E+01    2.94663E+00
    1.50000E+00    2.18681E+01    3.03448E+00
    2.50000E+00    2.16479E+01    3.27600E+00
    3.50000E+00    2.14989E+01    3.44220E+00
    4.50000E+00    2.14817E+01    3.38677E+00
    5.50000E+00    2.14600E+01    3.27980E+00
    6.50000E+00    2.14195E+01    3.10179E+00
    7.50000E+00    2.13417E+01    2.54603E+00
    8.50000E+00    2.12008E+01    2.79898E+00
    9.50000E+00    2.09913E+01    3.10071E+00
    1.05000E+01    2.07407E+01    3.13065E+00
    1.15000E+01    2.04705E+01    2.93157E+00
    1.25000E+01    2.03128E+01    2.54333E+00
    1.35000E+01    2.00718E+01    3.03712E+00
    1.45000E+01    1.96952E+01    3.09838E+00
    1.55000E+01    1.94038E+01    2.87064E+00
    1.65000E+01    1.92250E+01    3.19618E+00
    1.75000E+01    1.89974E+01    3.35329E+00
    1.85000E+01    1.87915E+01    3.49333E+00
    1.95000E+01    1.88409E+01    3.57495E+00
    2.05000E+01    1.92628E+01    3.51470E+00
    2.15000E+01    2.01439E+01    3.34153E+00
    2.25000E+01    2.13033E+01    3.17946E+00
    2.35000E+01    2.25520E+01    3.06019E+00
    2.45000E+01    2.38721E+01    2.96573E+00
    2.55000E+01    2.52165E+01    2.88002E+00
    2.65000E+01    2.65845E+01    2.81194E+00
    2.75000E+01    2.79954E+01    2.75258E+00
    2.85000E+01    2.93691E+01    2.69886E+00
    2.95000E+01    3.07643E+01    2.64971E+00
    3.05000E+01    3.21482E+01    2.60549E+00
    3.15000E+01    3.35017E+01    2.56729E+00
    3.25000E+01    3.48676E+01    2.53113E+00
    3.35000E+01    3.61961E+01    2.49615E+00
    3.45000E+01    3.75104E+01    2.46214E+00
    3.55000E+01    3.88332E+01    2.42720E+00
    3.65000E+01    4.01251E+01    2.39574E+00
    3.75000E+01    4.13907E+01    2.36679E+00
    3.85000E+01    4.26588E+01    2.33989E+00
    3.95000E+01    4.39234E+01    2.31455E+00
    4.05000E+01    4.51646E+01    2.28826E+00
    4.15000E+01    4.63893E+01    2.26181E+00
    4.25000E+01    4.76080E+01    2.23507E+00
    4.35000E+01    4.88279E+01    2.20947E+00
    4.45000E+01    5.00337E+01    2.18550E+00
    4.55000E+01    5.12192E+01    2.16326E+00
    4.65000E+01    5.23957E+01    2.14214E+00
